Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,âˆšx (sx) error ,Single-qubit Pauli-X error ,X12 error ,XPRS error ,CNOT error ,Gate time (ns)
Q0,426.13,501.49,4.897,-0.34483,2.900e-3,0.003,0.0028,718.222,9.898e-5,9.898e-5,9.898e-5,9.898e-5,9.898e-5,0_1:4.173e-3,0_1:384
Q1,549.77,44.53,4.639,-0.3498,1.140e-2,0.0104,0.0124,718.222,2.049e-4,2.049e-4,2.049e-4,2.049e-4,2.049e-4,1_2:4.492e-3; 1_4:3.979e-3; 1_0:4.173e-3,1_2:398.222; 1_4:426.667; 1_0:419.556
Q2,391.77,96.47,4.777,-0.34992,1.850e-2,0.0158,0.0212,718.222,3.115e-4,3.115e-4,3.115e-4,3.115e-4,3.115e-4,2_1:4.492e-3; 2_3:1.311e-2,2_1:362.667; 2_3:327.111
Q3,510.01,388.02,4.847,-0.34824,1.850e-2,0.0136,0.0234,718.222,1.794e-4,1.794e-4,1.794e-4,1.794e-4,1.794e-4,3_5:7.701e-3; 3_2:1.311e-2,3_5:398.222; 3_2:291.556
Q4,395.23,255.15,4.92,-0.34403,4.500e-3,0.003,0.006,718.222,1.596e-4,1.596e-4,1.596e-4,1.596e-4,1.596e-4,4_7:1.024e-2; 4_1:3.979e-3,4_7:526.222; 4_1:391.111
Q5,416.36,502.84,4.991,-0.34405,3.790e-2,0.0404,0.0354,718.222,1.009e-4,1.009e-4,1.009e-4,1.009e-4,1.009e-4,5_8:1.988e-2; 5_3:7.701e-3,5_8:412.444; 5_3:433.778
Q6,244.18,473.18,5.011,-0.34282,3.500e-3,0.003,0.004,718.222,1.497e-4,1.497e-4,1.497e-4,1.497e-4,1.497e-4,6_7:3.423e-3,6_7:320
Q7,420.47,301.69,4.745,-0.34883,6.260e-2,0.0574,0.0678,718.222,1.321e-4,1.321e-4,1.321e-4,1.321e-4,1.321e-4,7_10:6.514e-3; 7_4:1.024e-2; 7_6:3.423e-3,7_10:327.111; 7_4:490.667; 7_6:355.556
Q8,408.39,101.01,4.931,-0.34442,7.200e-3,0.0114,0.003,718.222,6.859e-4,6.859e-4,6.859e-4,6.859e-4,6.859e-4,8_11:1.707e-2; 8_5:1.988e-2; 8_9:1.516e-2,8_11:455.111; 8_5:448; 8_9:455.111
Q9,310.97,464.18,5.192,-0.33909,4.750e-2,0.0584,0.0366,718.222,9.990e-5,9.990e-5,9.990e-5,9.990e-5,9.990e-5,9_8:1.516e-2,9_8:419.556
Q10,411.22,119.26,4.842,-0.34563,2.320e-2,0.0232,0.0232,718.222,1.471e-4,1.471e-4,1.471e-4,1.471e-4,1.471e-4,10_7:6.514e-3; 10_12:7.113e-3,10_7:362.667; 10_12:369.778
Q11,329.43,73.66,5.12,-0.34197,6.100e-3,0.011,0.0012,718.222,2.646e-4,2.646e-4,2.646e-4,2.646e-4,2.646e-4,11_8:1.707e-2; 11_14:6.361e-3,11_8:419.556; 11_14:440.889
Q12,449.6,429.19,4.922,-0.34368,2.080e-2,0.02,0.0216,718.222,1.205e-4,1.205e-4,1.205e-4,1.205e-4,1.205e-4,12_13:4.107e-3; 12_10:7.113e-3; 12_15:4.852e-3,12_13:455.111; 12_10:334.222; 12_15:440.889
Q13,245.87,57.2,4.988,-0.3434,1.870e-2,0.0192,0.0182,718.222,2.148e-4,2.148e-4,2.148e-4,2.148e-4,2.148e-4,13_14:1.630e-2; 13_12:4.107e-3,13_14:540.444; 13_12:490.667
Q14,371.78,181.98,4.822,-0.37079,3.970e-2,0.0296,0.0498,718.222,1.854e-4,1.854e-4,1.854e-4,1.854e-4,1.854e-4,14_13:1.630e-2; 14_16:1.047e-2; 14_11:6.361e-3,14_13:504.889; 14_16:519.111; 14_11:476.444
Q15,332.47,218.12,4.977,-0.33679,1.550e-2,0.012,0.019,718.222,2.486e-4,2.486e-4,2.486e-4,2.486e-4,2.486e-4,15_18:5.881e-3; 15_12:4.852e-3,15_18:376.889; 15_12:476.444
Q16,267.73,53.83,5.094,-0.34031,1.560e-2,0.013,0.0182,718.222,1.049e-3,1.049e-3,1.049e-3,1.049e-3,1.049e-3,16_19:1.070e-2; 16_14:1.047e-2,16_19:590.222; 16_14:483.556
Q17,386.3,513.68,5.169,-0.34018,4.500e-3,0.0054,0.0036,718.222,9.123e-5,9.123e-5,9.123e-5,9.123e-5,9.123e-5,17_18:4.552e-3,17_18:675.556
Q18,289.83,381.26,5.097,-0.34257,3.470e-2,0.0384,0.031,718.222,8.389e-5,8.389e-5,8.389e-5,8.389e-5,8.389e-5,18_17:4.552e-3; 18_15:5.881e-3; 18_21:3.403e-3,18_17:640; 18_15:412.444; 18_21:462.222
Q19,391.55,196.03,4.801,-0.38267,5.470e-2,0.0382,0.0712,718.222,2.197e-4,2.197e-4,2.197e-4,2.197e-4,2.197e-4,19_16:1.070e-2; 19_20:9.347e-3; 19_22:1.140e-2,19_16:625.778; 19_20:618.667; 19_22:455.111
Q20,247.03,38.29,5.136,-0.36932,3.490e-2,0.0454,0.0244,718.222,2.183e-4,2.183e-4,2.183e-4,2.183e-4,2.183e-4,20_19:9.347e-3,20_19:583.111
Q21,412.09,348.43,4.881,-0.34542,5.900e-3,0.0068,0.005,718.222,1.350e-4,1.350e-4,1.350e-4,1.350e-4,1.350e-4,21_23:4.805e-3; 21_18:3.403e-3,21_23:675.556; 21_18:497.778
Q22,200.3,269.86,4.94,-0.34481,3.510e-2,0.0388,0.0314,718.222,3.354e-4,3.354e-4,3.354e-4,3.354e-4,3.354e-4,22_25:5.893e-3; 22_19:1.140e-2,22_25:405.333; 22_19:419.556
Q23,420.8,483.68,5.033,-0.34171,5.170e-2,0.0746,0.0288,718.222,4.997e-4,4.997e-4,4.997e-4,4.997e-4,4.997e-4,23_21:4.805e-3; 23_24:2.631e-3,23_21:640; 23_24:419.556
Q24,338.71,451.64,5.137,-0.34087,6.600e-3,0.0042,0.009,718.222,1.086e-4,1.086e-4,1.086e-4,1.086e-4,1.086e-4,24_25:3.263e-3; 24_23:2.631e-3,24_25:384; 24_23:384
Q25,392.64,297.33,5.009,-0.34407,8.700e-3,0.0106,0.0068,718.222,1.351e-4,1.351e-4,1.351e-4,1.351e-4,1.351e-4,25_24:3.263e-3; 25_26:5.717e-3; 25_22:5.893e-3,25_24:419.556; 25_26:384; 25_22:440.889
Q26,198.11,370.88,5.123,-0.33923,2.090e-2,0.0186,0.0232,718.222,1.997e-4,1.997e-4,1.997e-4,1.997e-4,1.997e-4,26_25:5.717e-3,26_25:348.444
